ダウンロードした時刻：2023/06/18 09:09:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,那須高原,那須高原,那須高原,黒磯,黒磯,黒磯,大田原,大田原,大田原,塩谷,塩谷,塩谷,奥日光（日光）,奥日光（日光）,奥日光（日光）,土呂部,土呂部,土呂部,五十里,五十里,五十里,真岡,真岡,真岡,宇都宮,宇都宮,宇都宮,鹿沼,鹿沼,鹿沼,小山,小山,小山,佐野,佐野,佐野
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Dec-95,-0.4,8,1,1.8,8,1,2.9,8,1,2.1,8,1,-2.8,8,1,-3,8,1,-0.6,8,1,1.8,8,1,3.4,8,1,2,8,1,3.4,8,1,4.2,8,1
Jan-96,-2,8,1,0.5,8,1,1.8,8,1,1.2,8,1,-4,8,1,-4.3,8,1,-2.4,8,1,1.3,8,1,2.6,8,1,1.3,8,1,2.6,8,1,2.9,8,1
Feb-96,-2.5,8,1,0.1,8,1,1.3,8,1,0.6,8,1,-5.1,8,1,-5,8,1,-3,8,1,1.3,8,1,2.4,8,1,1.1,8,1,2.7,8,1,2.5,8,1
Mar-96,1,8,1,3.7,8,1,4.9,8,1,4.8,8,1,-1,8,1,-0.8,8,1,1.2,8,1,5.4,8,1,6.4,8,1,5.1,8,1,6.8,8,1,6.6,8,1
Apr-96,5.5,8,1,7.8,8,1,9.1,8,1,8.5,8,1,2.1,8,1,3.5,8,1,5.5,8,1,9.2,8,1,10.3,8,1,9.1,8,1,10.6,8,1,10.4,8,1
May-96,11.4,8,1,13.8,8,1,15,8,1,14.8,8,1,8.9,8,1,10.2,8,1,11.8,8,1,15.3,8,1,16,8,1,14.9,8,1,16.2,8,1,16,8,1
Jun-96,16.3,8,1,18.7,8,1,19.5,8,1,19.6,8,1,14.5,8,1,15.7,8,1,17.3,8,1,20,8,1,20.7,8,1,20,8,1,21,8,1,21.2,8,1
Jul-96,20.1,8,1,22.3,8,1,23.2,8,1,23.3,8,1,18.1,8,1,19.1,8,1,20.9,8,1,24,8,1,24.7,8,1,23.7,8,1,24.9,8,1,25.1,8,1
Aug-96,19.5,8,1,22.3,8,1,23.2,8,1,23.2,8,1,17.2,8,1,18.9,8,1,20.7,8,1,23.8,8,1,24.6,8,1,23.5,8,1,24.8,8,1,24.8,8,1
Sep-96,15.7,8,1,18.2,8,1,18.9,8,1,19,8,1,13.1,8,1,14.1,8,1,16,8,1,19.5,8,1,20.4,8,1,19.2,8,1,20.4,8,1,20.3,8,1
Oct-96,11,8,1,13.2,8,1,14.2,8,1,13.9,8,1,8.3,8,1,8.8,8,1,10.8,8,1,14.5,8,1,15.6,8,1,14.4,8,1,15.5,8,1,15.3,8,1
Nov-96,5.9,8,1,8,8,1,9,8,1,8.4,8,1,4.3,8,1,4,8,1,6,8,1,9,8,1,10.1,8,1,8.9,8,1,10,8,1,10,8,1
Dec-96,1.6,8,1,3.4,8,1,4.5,8,1,3.6,8,1,-0.6,8,1,-0.9,8,1,1.1,8,1,3.8,8,1,5.4,8,1,4.1,8,1,5.2,8,1,5,8,1
Jan-97,-1.6,8,1,0.8,8,1,1.8,8,1,1.3,8,1,-4.1,8,1,-4.1,8,1,-1.7,8,1,1.2,8,1,2.5,8,1,1.3,8,1,2.6,8,1,2.8,8,1
Feb-97,-1.5,8,1,1.3,8,1,2.7,8,1,2,8,1,-3.9,5,1,-4,8,1,-1.5,8,1,2.7,8,1,3.8,5,1,2.4,8,1,3.9,8,1,3.8,8,1
Mar-97,2.3,8,1,5.1,8,1,6.3,8,1,5.9,8,1,0.1,8,1,0.5,8,1,2.8,8,1,6.7,8,1,7.6,8,1,6.2,8,1,8,8,1,7.9,8,1
Apr-97,8.2,8,1,10.6,8,1,11.8,8,1,11.7,8,1,5.8,8,1,6.8,8,1,8.8,8,1,12.2,8,1,13.2,8,1,12,8,1,13.5,8,1,13.4,8,1
May-97,12.8,8,1,15,8,1,15.9,8,1,15.8,8,1,10.4,8,1,11.5,8,1,13.3,8,1,16.6,8,1,17.1,8,1,16.2,8,1,17.4,8,1,17.4,8,1
Jun-97,16.7,8,1,19.4,8,1,20.2,8,1,20.4,8,1,14.3,8,1,15.8,8,1,17.5,8,1,21,8,1,21.6,8,1,20.5,8,1,21.8,8,1,21.9,8,1
Jul-97,20.5,8,1,22.7,8,1,23.5,8,1,23.6,8,1,18.3,8,1,19.4,8,1,20.8,8,1,24.3,8,1,25,8,1,23.9,8,1,25.3,8,1,25.3,8,1
Aug-97,20.5,5,1,23.1,8,1,23.9,8,1,23.9,8,1,18.5,8,1,19.7,8,1,21.2,8,1,24.7,8,1,25.2,8,1,24.1,8,1,25.5,8,1,25.5,8,1
Sep-97,16.3,8,1,18.7,8,1,19.5,8,1,19.5,8,1,14.3,8,1,15.5,8,1,16.9,8,1,20.4,8,1,20.9,8,1,19.9,8,1,21.2,8,1,21.1,8,1
Oct-97,10.9,8,1,13.2,8,1,14,8,1,13.7,8,1,8.3,8,1,8.2,8,1,10.3,8,1,14.4,8,1,15.6,8,1,14.1,8,1,15.6,8,1,15.5,8,1
Nov-97,7.1,8,1,9.3,8,1,10.1,8,1,9.9,8,1,4.9,8,1,4.7,8,1,6.6,8,1,10.1,8,1,11.3,8,1,9.7,8,1,11.1,8,1,11.1,8,1
Dec-97,2,8,1,3.7,8,1,4.7,8,1,4.1,8,1,0,8,1,-0.4,8,1,1.7,8,1,4.2,8,1,5.6,8,1,4.3,8,1,5.5,8,1,5.6,8,1
Jan-98,-2.1,8,1,0,8,1,0.9,8,1,0.2,8,1,-4.1,8,1,-4,8,1,-2,8,1,0.7,8,1,2,8,1,0.8,8,1,2,8,1,2.2,8,1
Feb-98,-0.6,8,1,1.9,8,1,3.1,8,1,2.6,8,1,-2.7,8,1,-2.2,8,1,-0.3,8,1,3.1,8,1,4.1,8,1,2.9,8,1,4.3,8,1,4.4,8,1
Mar-98,2.6,8,1,5.1,8,1,6.3,8,1,5.9,8,1,0.2,8,1,0.4,8,1,2.8,8,1,6.6,8,1,7.7,8,1,6,8,1,7.7,8,1,7.4,8,1
Apr-98,10.8,8,1,12.8,8,1,13.6,8,1,13.4,8,1,8,8,1,9.4,8,1,11.4,8,1,13.9,8,1,14.6,8,1,13.7,8,1,14.8,8,1,14.6,8,1
May-98,14.3,8,1,16.8,8,1,17.7,8,1,17.8,8,1,12.5,8,1,13.3,8,1,15.1,8,1,18.2,8,1,18.8,8,1,18,8,1,19.1,8,1,19,8,1
Jun-98,15.3,8,1,18,8,1,18.9,8,1,19,8,1,13.8,8,1,15.2,8,1,16.6,8,1,19.6,8,1,20.1,8,1,19.3,8,1,20.4,8,1,20.7,8,1
Jul-98,19.5,8,1,21.9,8,1,22.7,8,1,22.6,8,1,17.6,8,1,19.1,8,1,20.5,8,1,23.2,8,1,23.7,8,1,22.8,8,1,24,8,1,24.2,8,1
Aug-98,20.5,8,1,22.9,8,1,23.6,8,1,23.6,8,1,18.9,8,1,19.9,8,1,21.2,8,1,24.6,8,1,25,8,1,24.1,8,1,25.3,8,1,25.5,8,1
Sep-98,18.3,8,1,20.8,8,1,21.6,8,1,21.5,8,1,16.1,8,1,17.4,8,1,18.9,8,1,22.4,8,1,22.9,8,1,21.9,8,1,23,8,1,23,8,1
Oct-98,13.2,8,1,15.7,8,1,16.4,8,1,16.4,8,1,11.5,8,1,11.5,8,1,13.4,8,1,17.1,8,1,17.8,8,1,16.5,8,1,17.9,8,1,17.8,8,1
Nov-98,6.2,8,1,7.9,8,1,9.1,8,1,8.4,8,1,4.5,8,1,4,8,1,5.7,8,1,8.9,8,1,10.1,8,1,8.7,8,1,10.1,8,1,10.3,8,1
Dec-98,2.2,8,1,3.9,8,1,4.8,8,1,3.9,8,1,0.1,8,1,-0.2,8,1,1.7,8,1,3.9,8,1,5.3,8,1,4.1,8,1,5.2,8,1,5.2,8,1
Jan-99,-1.5,8,1,0.8,8,1,2,8,1,1.1,8,1,-3.7,8,1,-3.7,8,1,-2.1,8,1,1.3,8,1,2.7,8,1,1.4,8,1,2.8,8,1,3.2,8,1
Feb-99,-1.7,8,1,0.9,8,1,2.2,8,1,1.4,8,1,-3.9,8,1,-3.7,8,1,-1.8,8,1,1.9,8,1,3.2,8,1,1.8,8,1,3.4,8,1,3.2,8,1
Mar-99,2.8,8,1,5.4,8,1,6.5,8,1,6.1,8,1,0.7,8,1,1.1,8,1,3.2,8,1,6.8,8,1,7.7,8,1,6.4,8,1,7.8,8,1,7.8,8,1
Apr-99,7.7,8,1,10.4,8,1,11.6,8,1,11.1,8,1,5.1,8,1,6.1,8,1,8.2,8,1,11.9,8,1,12.7,8,1,11.5,8,1,13,8,1,12.9,8,1
May-99,13,8,1,15.3,8,1,16.5,8,1,16.3,8,1,10.4,8,1,11.4,8,1,13.1,8,1,17.2,8,1,18,8,1,16.7,8,1,18.2,8,1,17.8,8,1
Jun-99,16.6,8,1,19.2,8,1,20,8,1,20.1,8,1,14.2,8,1,15.7,8,1,17.4,8,1,20.7,8,1,21.3,8,1,20.4,8,1,21.4,8,1,21.7,5,1
Jul-99,20.1,8,1,22.5,5,1,23.4,8,1,23.3,8,1,17.9,8,1,19.5,8,1,20.9,8,1,24.2,8,1,24.6,8,1,23.6,8,1,24.9,8,1,25.1,8,1
Aug-99,22.1,8,1,24.7,5,1,25.4,8,1,25.5,8,1,19.4,8,1,21.3,8,1,22.6,8,1,26.6,8,1,27,8,1,25.7,8,1,27.3,8,1,27,8,1
Sep-99,19.1,8,1,21.5,8,1,22.4,8,1,22.4,8,1,17.3,5,1,18.2,8,1,19.7,8,1,23.5,8,1,24.1,8,1,22.9,8,1,24.4,8,1,24.1,8,1
Oct-99,12.2,8,1,14.6,8,1,15.6,8,1,15.1,8,1,10,8,1,10.3,8,1,12,8,1,15.8,8,1,16.9,8,1,15.6,8,1,16.8,8,1,16.7,8,1
Nov-99,7.2,8,1,9,8,1,9.8,8,1,9.4,8,1,4.7,8,1,4.5,8,1,6.6,8,1,9.8,8,1,11.1,8,1,9.7,8,1,10.9,8,1,10.7,8,1
Dec-99,0.9,8,1,3,8,1,4,8,1,3.3,8,1,-1.1,8,1,-1.4,8,1,0.3,8,1,3.1,8,1,4.9,8,1,3.4,8,1,4.6,8,1,5.1,8,1
Jan-00,0.1,8,1,2.6,8,1,3.6,8,1,3.1,8,1,-2.1,8,1,-2,8,1,0.1,8,1,3.3,8,1,4.5,8,1,3.1,8,1,4.6,8,1,4.7,8,1
Feb-00,-2.7,8,1,0.3,8,1,1.7,8,1,0.9,8,1,-5.4,8,1,-4.7,8,1,-2.5,8,1,1.2,8,1,2.6,8,1,1,8,1,2.8,8,1,2.9,8,1
Mar-00,0.5,8,1,3.4,8,1,5.1,8,1,4.5,8,1,-1.8,8,1,-1.3,8,1,0.9,8,1,5.6,8,1,6.5,8,1,4.8,8,1,6.9,8,1,6.7,8,1
Apr-00,6.6,8,1,9.4,8,1,10.5,8,1,10.2,8,1,4.1,8,1,5.1,8,1,7.3,8,1,11.1,8,1,12.1,8,1,10.5,8,1,12.4,8,1,12.1,8,1
May-00,13.3,8,1,15.9,8,1,16.8,8,1,16.6,8,1,10.4,8,1,11.9,8,1,13.8,8,1,17.4,8,1,18,8,1,16.9,8,1,18.2,8,1,18.1,8,1
Jun-00,16.8,8,1,19.6,8,1,20.1,8,1,20.2,8,1,14.3,8,1,15.7,8,1,17.4,8,1,20.7,8,1,21.2,8,1,20.3,8,1,21.3,8,1,21.5,8,1
Jul-00,21.2,8,1,23.8,8,1,24.3,8,1,24.5,8,1,18.7,8,1,19.8,8,1,21.4,8,1,25.2,8,1,25.7,8,1,24.5,8,1,26,8,1,26.1,8,1
Aug-00,21.7,8,1,24.4,5,1,24.9,8,1,25.1,8,1,19.1,8,1,20.5,8,1,22.3,8,1,25.7,8,1,26.2,8,1,25.1,8,1,26.4,8,1,26.4,8,1
Sep-00,18.2,8,1,21.1,8,1,21.6,8,1,21.6,8,1,16,8,1,17,8,1,18.7,8,1,22.4,8,1,23,8,1,21.8,8,1,23.1,8,1,23,8,1
Oct-00,11.6,8,1,14.3,8,1,14.9,8,1,14.8,8,1,9.7,8,1,10,8,1,11.7,8,1,15.5,8,1,16.4,8,1,15.2,8,1,16.3,8,1,16.3,8,1
Nov-00,6.1,8,1,8.4,8,1,8.9,8,1,8.8,8,1,4.5,8,1,4.3,8,1,6.1,8,1,9.2,8,1,10.3,8,1,9.2,8,1,10.3,8,1,10.4,8,1
Dec-00,0.7,8,1,2.8,8,1,3.7,8,1,3.1,8,1,-1.2,8,1,-1.5,8,1,0.1,8,1,3.2,8,1,4.6,8,1,3.1,8,1,4.6,8,1,4.8,8,1
Jan-01,-3.5,8,1,-0.8,8,1,0.3,8,1,-0.2,8,1,-5.5,8,1,-5.4,8,1,-3.3,8,1,0.1,8,1,1.4,8,1,0.1,8,1,1.4,8,1,1.8,8,1
Feb-01,-2.1,8,1,0.8,8,1,1.9,8,1,1.4,8,1,-4,8,1,-4.1,8,1,-2.3,8,1,2,8,1,3.2,8,1,1.7,8,1,3.3,8,1,3.4,8,1
Mar-01,1.4,8,1,4.5,8,1,5.5,8,1,5.3,8,1,-0.8,8,1,-0.5,8,1,1.7,8,1,6,8,1,7,8,1,5.5,8,1,7.2,8,1,7.2,8,1
Apr-01,8.4,8,1,10.9,8,1,11.9,8,1,11.5,8,1,5.3,8,1,6.4,8,1,8.7,8,1,12.3,8,1,13.4,8,1,11.8,8,1,13.3,8,1,13.1,8,1
May-01,13.3,8,1,16,8,1,16.8,8,1,16.8,8,1,10.6,8,1,12.4,8,1,14.2,8,1,17.4,8,1,18.1,8,1,17,8,1,18,8,1,18,8,1
Jun-01,16.6,8,1,19.5,8,1,20.1,8,1,20.3,8,1,14.4,8,1,15.8,8,1,17.2,8,1,20.9,8,1,21.6,8,1,20.5,8,1,21.6,8,1,21.8,8,1
Jul-01,21.7,8,1,24.7,8,1,25,5,1,25.3,8,1,19.6,8,1,21.1,8,1,22.6,8,1,26.1,8,1,26.8,8,1,25.5,8,1,27.1,8,1,26.9,4,1
Aug-01,19.7,8,1,22.6,8,1,22.9,8,1,23.2,8,1,17.8,8,1,19.6,8,1,20.8,8,1,23.8,8,1,24.4,8,1,23.3,8,1,24.6,8,1,24.4,8,1
Sep-01,16.6,8,1,19.8,5,1,19.9,8,1,19.9,8,1,14.2,8,1,15.4,8,1,17.1,8,1,20.6,8,1,21.4,8,1,20.2,8,1,21.3,8,1,21,8,1
Oct-01,11.3,8,1,14.2,8,1,14.5,8,1,14.3,8,1,9.1,8,1,9.5,8,1,11.2,8,1,15,8,1,16.1,8,1,14.7,8,1,15.9,8,1,15.8,8,1
Nov-01,6.1,8,1,8.3,8,1,8.5,8,1,8.3,8,1,3.5,8,1,3.7,8,1,5.3,8,1,8.1,8,1,9.9,8,1,8.4,8,1,9.2,8,1,9.2,8,1
Dec-01,-0.2,8,1,2.7,8,1,3.4,8,1,2.9,8,1,-2.1,8,1,-2,8,1,-0.3,8,1,2.7,8,1,4.4,8,1,2.9,8,1,4.1,8,1,4.5,8,1
Jan-02,-0.6,8,1,2.1,8,1,2.9,8,1,2.5,8,1,-3,8,1,-2.6,8,1,-0.8,8,1,2.7,8,1,4,8,1,2.4,8,1,3.9,8,1,4.2,8,1
Feb-02,-0.4,8,1,2.9,8,1,3.9,8,1,3.5,8,1,-2.9,8,1,-2.5,8,1,-0.3,8,1,3.8,8,1,5.2,8,1,3.5,8,1,5,8,1,5.2,8,1
Mar-02,4,8,1,6.7,8,1,7.6,8,1,7.4,8,1,1.7,8,1,2,8,1,4.1,8,1,8.3,8,1,9.4,8,1,7.7,8,1,9.6,8,1,9.5,8,1
Apr-02,9.4,8,1,11.8,8,1,12.6,8,1,12.5,8,1,6.8,8,1,7.8,8,1,9.9,8,1,13.2,8,1,14.1,8,1,12.9,8,1,14.2,8,1,13.9,8,1
May-02,12,8,1,14.8,8,1,15.4,8,1,15.6,8,1,9.8,8,1,11,8,1,12.7,8,1,16,8,1,16.7,8,1,15.7,8,1,16.9,8,1,16.8,8,1
Jun-02,15.3,5,1,18.4,8,1,18.7,8,1,19,8,1,13.3,8,1,14.7,8,1,16.3,8,1,19.4,8,1,20,8,1,19.1,8,1,20.2,8,1,20.3,8,1
Jul-02,21.7,8,1,24.6,8,1,24.7,8,1,25.1,8,1,19.9,8,1,20.9,8,1,22.4,8,1,25.8,8,1,26.3,8,1,25.2,8,1,26.5,8,1,26.4,8,1
Aug-02,21.5,8,1,24.5,8,1,24.7,8,1,25.1,8,1,19.1,8,1,20.6,8,1,22.2,8,1,25.9,8,1,26.4,8,1,25.2,8,1,26.6,8,1,26.4,8,1
Sep-02,16.4,8,1,19.4,8,1,19.7,8,1,19.8,8,1,14.1,8,1,15.1,8,1,16.8,8,1,20.6,8,1,21.3,8,1,20.1,8,1,21.3,8,1,21,8,1
Oct-02,11.4,8,1,14.5,8,1,14.8,8,1,14.7,8,1,9.2,8,1,9.5,8,1,11.3,8,1,15.4,8,1,16.3,8,1,15,8,1,16.4,8,1,16.3,8,1
Nov-02,3.4,8,1,5.9,8,1,6.7,8,1,6.4,8,1,1.8,8,1,1.3,8,1,2.9,8,1,6.7,8,1,7.9,8,1,6.5,8,1,7.9,8,1,8,8,1
Dec-02,-0.3,8,1,2,8,1,2.7,8,1,2.3,8,1,-2.2,8,1,-2,8,1,-0.2,8,1,2.5,8,1,3.7,8,1,2.7,8,1,3.5,8,1,3.7,8,1
Jan-03,-2.3,8,1,0.4,8,1,1.2,8,1,0.7,8,1,-4.8,5,1,-4.6,8,1,-2.7,8,1,1.3,8,1,2.2,8,1,1,8,1,2.2,8,1,2.3,8,1
Feb-03,-1.7,8,1,1.5,8,1,2.5,8,1,2.1,8,1,-4.2,8,1,-3.6,8,1,-1.4,8,1,2.4,8,1,3.6,8,1,2.2,8,1,3.4,8,1,3.6,8,1
Mar-03,0.6,8,1,4,8,1,4.8,8,1,4.7,8,1,-1.9,8,1,-1.2,8,1,1.2,8,1,5.2,8,1,6.2,8,1,4.6,8,1,6.2,8,1,6.3,8,1
Apr-03,8.3,8,1,11,8,1,11.6,8,1,11.7,8,1,5.9,8,1,7,8,1,9.2,8,1,12.2,8,1,13,8,1,11.8,8,1,13.2,8,1,12.9,8,1
May-03,12.8,8,1,15.5,8,1,16.1,8,1,16.3,8,1,9.9,8,1,11.8,8,1,13.6,8,1,16.7,8,1,17.4,8,1,16.4,8,1,17.5,8,1,17.3,8,1
Jun-03,17,8,1,20.1,8,1,20.3,8,1,20.7,8,1,14.7,8,1,16.2,8,1,17.8,8,1,21,8,1,21.7,8,1,20.8,8,1,21.8,8,1,22,8,1
Jul-03,16.8,8,1,19.6,8,1,19.9,8,1,20.1,8,1,15.2,8,1,16.7,8,1,18,8,1,20.7,8,1,21.2,8,1,20.5,8,1,21.4,8,1,21.5,8,1
Aug-03,20.1,8,1,23,8,1,23.1,8,1,23.4,8,1,18.2,8,1,19.4,8,1,20.8,8,1,24.1,8,1,24.5,8,1,23.5,8,1,24.6,8,1,24.4,8,1
Sep-03,17.3,8,1,20.3,8,1,20.5,8,1,20.8,8,1,15.6,8,1,16.3,8,1,18,8,1,21.5,8,1,22.3,8,1,21.1,8,1,22.2,8,1,22,8,1
Oct-03,10.4,8,1,13.3,8,1,13.6,8,1,13.8,8,1,8,8,1,8.5,8,1,10.3,8,1,14.2,8,1,15.4,8,1,14,8,1,15.2,8,1,15,8,1
Nov-03,8.1,8,1,10.4,8,1,10.7,8,1,10.7,8,1,6,8,1,6.3,8,1,8,8,1,11.2,8,1,12.2,8,1,11.1,8,1,12,8,1,12,8,1
Dec-03,1.8,8,1,4,8,1,4.5,8,1,4,8,1,-0.6,8,1,-0.3,8,1,1.5,8,1,3.6,8,1,5.2,8,1,3.9,8,1,4.9,8,1,5.4,8,1
Jan-04,-2.2,8,1,0.8,8,1,1.8,8,1,1.1,8,1,-4.5,8,1,-4.5,8,1,-2.2,8,1,1.3,8,1,2.8,8,1,1.4,8,1,2.6,8,1,3,8,1
Feb-04,-0.3,8,1,2.7,8,1,3.5,8,1,3,8,1,-2.3,8,1,-2.3,8,1,-0.4,8,1,3.9,8,1,5,8,1,3.5,8,1,5.2,8,1,5,8,1
Mar-04,1.8,8,1,4.6,8,1,5.6,8,1,5.5,8,1,-0.4,8,1,-0.1,8,1,2.1,8,1,6.3,8,1,7.3,8,1,5.7,8,1,7.4,8,1,7.2,8,1
Apr-04,9.1,8,1,11.6,8,1,12.4,8,1,12.4,8,1,6.5,8,1,7.7,8,1,9.5,8,1,12.8,8,1,13.9,8,1,12.4,8,1,14.1,8,1,14,8,1
May-04,13.5,8,1,16.2,8,1,16.6,8,1,16.9,8,1,11.4,8,1,12.5,5,1,14.3,8,1,17.1,8,1,17.8,8,1,17.1,8,1,17.9,8,1,18.1,8,1
Jun-04,17.5,8,1,20.3,8,1,20.5,8,1,20.9,5,1,15.3,8,1,16.5,8,1,18.1,8,1,21.5,8,1,22.3,8,1,21.2,8,1,22.4,8,1,22.5,8,1
Jul-04,21.1,8,1,24.3,8,1,24.5,8,1,24.9,8,1,19.4,8,1,20.4,8,1,21.8,8,1,25.7,8,1,26.4,8,1,25.1,8,1,26.7,8,1,26.7,8,1
Aug-04,20,8,1,23.2,8,1,23.2,8,1,23.7,8,1,18.1,8,1,19,8,1,20.7,8,1,24.6,8,1,25.2,8,1,23.8,8,1,25.5,8,1,25,8,1
Sep-04,18,8,1,21.1,8,1,21.3,8,1,21.5,8,1,16,8,1,17.2,8,1,18.8,8,1,22.4,8,1,23.1,8,1,21.9,8,1,23.2,8,1,22.9,8,1
Oct-04,11,8,1,13.8,8,1,13.9,8,1,14,8,1,9.2,8,1,9.5,8,1,11.3,8,1,14.5,8,1,15.3,8,1,14.3,8,1,15.3,8,1,15.3,8,1
Nov-04,8.2,5,1,10.8,8,1,11.3,8,1,10.7,8,1,6,8,1,6.2,8,1,8.2,8,1,11.3,8,1,12.5,8,1,11.1,8,1,12.3,8,1,12.3,8,1
Dec-04,2.2,8,1,4.5,8,1,5.1,8,1,4.6,8,1,0.4,8,1,0.1,8,1,1.9,8,1,4.7,8,1,6.2,8,1,4.6,8,1,6,8,1,6.1,8,1
Jan-05,-2,8,1,0.8,8,1,1.4,8,1,1,8,1,-4.2,8,1,-4.2,8,1,-2.3,8,1,1,8,1,2.4,8,1,1.2,8,1,2.4,8,1,3,8,1
Feb-05,-2.6,8,1,1,8,1,1.8,8,1,1.6,8,1,-4.4,8,1,-3.9,8,1,-2,8,1,2,8,1,3.1,8,1,1.6,8,1,3.3,8,1,3.3,8,1
Mar-05,0.7,8,1,3.7,8,1,4.4,8,1,4.2,8,1,-1.7,8,1,-1.4,8,1,0.6,8,1,4.9,8,1,6.1,8,1,4.5,8,1,6.2,8,1,5.8,8,1
Apr-05,8.1,8,1,10.6,8,1,11.4,8,1,11.1,8,1,5.6,8,1,6,8,1,8.2,8,1,11.8,8,1,12.8,8,1,11.5,8,1,13.1,8,1,12.7,8,1
May-05,11.1,8,1,14.1,8,1,14.6,8,1,14.8,8,1,8.6,8,1,9.9,8,1,11.9,8,1,15.4,8,1,16.2,8,1,15,8,1,16.3,8,1,16.2,8,1
Jun-05,17.7,8,1,20.7,8,1,20.9,8,1,21.2,8,1,14.9,8,1,16.8,8,1,18.4,8,1,21.6,8,1,22.3,8,1,21.3,8,1,22.3,8,1,22.4,8,1
Jul-05,19.6,8,1,22.4,8,1,22.5,8,1,22.8,8,1,17.5,8,1,18.8,8,1,20.3,8,1,23.4,8,1,24,8,1,22.9,8,1,24.2,8,1,24.2,8,1
Aug-05,21.6,8,1,24.6,8,1,24.5,8,1,24.8,8,1,18.9,8,1,20.6,8,1,22,8,1,25.9,8,1,26.3,8,1,25.1,8,1,26.6,8,1,26.3,8,1
Sep-05,17.9,8,1,21.1,8,1,21.2,8,1,21.5,8,1,15.7,8,1,16.8,8,1,18.4,8,1,22.4,8,1,23.1,8,1,21.7,8,1,23.2,8,1,22.8,8,1
Oct-05,12.5,8,1,15.5,8,1,15.7,8,1,15.8,8,1,10.1,8,1,11,8,1,12.7,8,1,16.6,8,1,17.3,8,1,16,8,1,17.4,8,1,17.1,8,1
Nov-05,5.5,8,1,8,8,1,8.7,8,1,8,8,1,3.3,8,1,3.4,8,1,5.1,8,1,8.3,8,1,9.8,8,1,8.2,8,1,9.6,8,1,9.3,8,1
Dec-05,-2.5,8,1,0.6,8,1,1.3,8,1,0.8,8,1,-5,8,1,-4.7,8,1,-2.8,8,1,0.8,8,1,2.4,8,1,0.8,8,1,2.3,8,1,2.8,8,1
Jan-06,-3.1,8,1,0.2,8,1,1.1,8,1,0.3,8,1,-5.1,8,1,-5.1,8,1,-3.2,8,1,0.3,8,1,1.7,8,1,0.2,8,1,1.7,8,1,2.3,8,1
Feb-06,-0.9,8,1,2.1,8,1,2.8,8,1,2.7,8,1,-2.6,8,1,-2.5,8,1,-0.7,8,1,3.1,8,1,4.2,8,1,3,8,1,4.1,8,1,4.3,8,1
Mar-06,1.5,8,1,4.8,8,1,5.6,8,1,5.4,8,1,-0.6,8,1,0,8,1,2.2,8,1,6.5,8,1,7.4,8,1,5.8,8,1,7.6,8,1,7.4,8,1
Apr-06,6.5,8,1,9.5,8,1,10.3,8,1,10.2,8,1,3.8,8,1,5.1,8,1,7,8,1,10.8,8,1,11.6,8,1,10.3,8,1,11.7,8,1,11.7,8,1
May-06,12.7,5,1,15.6,8,1,16,8,1,16.3,8,1,10.4,8,1,12,8,1,13.6,8,1,16.5,5,1,17.3,8,1,16.4,8,1,17.3,8,1,17.2,8,1
Jun-06,16.4,8,1,19.5,8,1,19.7,8,1,20,8,1,13.9,8,1,15.5,8,1,17.2,8,1,20.6,8,1,21.2,8,1,20.2,8,1,21.3,8,1,21.4,8,1
Jul-06,19.3,8,1,22.3,8,1,22.4,8,1,22.6,8,1,17.2,8,1,18.6,8,1,20,8,1,23.4,8,1,23.9,8,1,23,8,1,24,8,1,24.2,8,1
Aug-06,21.5,8,1,24.6,8,1,24.6,8,1,25,8,1,19,8,1,20.7,8,1,22.4,8,1,25.5,8,1,26.3,8,1,25.1,8,1,26.3,8,1,26.1,8,1
Sep-06,16.7,8,1,20,5,1,20.1,8,1,20.4,8,1,14.5,8,1,15.7,8,1,17.6,8,1,21.2,8,1,21.9,8,1,20.8,8,1,22,8,1,21.8,8,1
Oct-06,12.5,8,1,15.5,8,1,15.8,8,1,15.8,8,1,10.2,8,1,10.8,8,1,12.7,8,1,16.4,8,1,17.4,8,1,16.1,8,1,17.3,8,1,17.3,8,1
Nov-06,7,5,1,9.3,8,1,9.8,8,1,9.7,8,1,4.9,8,1,4.9,8,1,6.7,8,1,10.2,8,1,11.4,8,1,10,8,1,11.3,8,1,11.3,8,1
