ダウンロードした時刻：2023/06/19 00:23:26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,宮津,宮津,宮津,舞鶴,舞鶴,舞鶴,美山,美山,美山,京都,京都,京都,園部,園部,園部
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Sep-13,22.6,8,1,22.6,8,1,20.4,8,1,24.3,8,1,21.6,8,2
Oct-13,18.6,8,1,18.4,8,1,16.5,8,1,20,8,1,17.5,8,2
Nov-13,11.1,8,1,10.4,8,1,8.2,8,1,11.5,8,1,8.5,8,2
Dec-13,6,8,1,5.3,8,1,3.1,8,1,6.3,8,1,3.7,8,2
Jan-14,4.1,8,1,3.3,8,1,0.8,8,1,4.4,5,1,2,8,2
Feb-14,4.4,8,1,4.2,8,1,1.6,8,1,5.1,8,1,2.9,8,2
Mar-14,7.9,8,1,7.8,8,1,5.6,8,1,9,8,1,6.6,8,2
Apr-14,11.8,8,1,12.1,8,1,10.3,8,1,14.4,8,1,11.4,8,2
May-14,17.5,8,1,18,8,1,16.1,8,1,19.8,8,1,17.3,8,2
Jun-14,21.7,8,1,22,8,1,20.3,8,1,24.1,8,1,22,8,2
Jul-14,25.6,8,1,25.9,8,1,24,8,1,27.6,8,1,25.2,8,2
Aug-14,26,8,1,26,8,1,24,8,1,27.5,8,1,25.3,8,2
Sep-14,21.6,8,1,21.8,8,1,19.4,8,1,23.3,8,1,20.8,8,2
Oct-14,16.9,8,1,16.9,8,1,14.6,8,1,18.8,8,1,15.7,8,2
Nov-14,12.2,8,1,11.6,8,1,9.4,8,1,13.1,8,1,10,8,2
Dec-14,4.8,8,1,4.5,5,1,2.5,8,1,5.5,8,1,2.9,8,2
Jan-15,4.1,8,1,3.7,8,1,1.7,8,1,4.9,8,1,2.7,8,2
Feb-15,4.6,8,1,4.4,8,1,2.1,8,1,5.6,8,1,3.5,8,2
Mar-15,7.7,8,1,7.6,8,1,5.9,8,1,9.4,8,1,6.8,8,2
Apr-15,13.4,8,1,13.8,8,1,12.4,8,1,15.6,8,1,13.3,8,2
May-15,18.5,8,1,19,8,1,17,8,1,21.2,8,1,18.6,8,2
Jun-15,21.1,8,1,21.3,8,1,19.4,8,1,22.8,8,1,21,8,2
Jul-15,25.5,8,1,25.8,8,1,24.1,8,1,27.2,8,1,25.3,8,2
Aug-15,26,8,1,26.4,8,1,24.6,8,1,28.3,8,1,26.1,8,2
Sep-15,21,8,1,21,8,1,19.2,8,1,22.9,8,1,20.4,8,2
Oct-15,16.3,8,1,16.3,8,1,14,8,1,18.1,8,1,14.8,8,2
Nov-15,13.5,8,1,13.2,8,1,11.3,8,1,14.5,8,1,11.9,8,2
Dec-15,8.4,8,1,7.9,8,1,5.8,8,1,9,8,1,6.2,8,2
Jan-16,4.8,8,1,4.2,8,1,2.3,8,1,5.7,8,1,2.7,8,2
Feb-16,5.4,8,1,4.9,8,1,2.9,8,1,6.4,8,1,3.7,8,2
Mar-16,8.4,8,1,8.4,8,1,6.3,8,1,9.9,8,1,7.3,8,2
Apr-16,13.9,8,1,14.2,8,1,12.6,8,1,16.1,8,1,13.7,8,2
May-16,18.5,8,1,19,8,1,17.2,8,1,21,8,1,18.7,8,2
Jun-16,21.8,8,1,22.1,8,1,20.2,8,1,23.2,8,1,21.5,8,2
Jul-16,25.8,8,1,26.1,8,1,24.2,8,1,27.8,8,1,25.7,8,2
Aug-16,26.6,8,1,27,8,1,24.7,8,1,29,8,1,26.3,8,2
Sep-16,23.2,8,1,23.3,8,1,21.9,8,1,25.3,8,1,23.2,8,2
Oct-16,18,8,1,18.1,8,1,16.1,8,1,19.7,8,1,17.1,8,2
Nov-16,11.9,8,1,11.4,8,1,9.3,8,1,12.5,8,1,9.8,8,2
Dec-16,7.9,8,1,7.2,8,1,5.2,8,1,8.2,8,1,5.4,8,2
Jan-17,4.3,8,1,3.6,8,1,1.4,8,1,4.8,8,1,1.9,8,2
Feb-17,4.2,8,1,3.8,8,1,1.6,8,1,5.1,8,1,2.8,8,2
Mar-17,6.6,8,1,6.6,8,1,4.4,8,1,8.2,8,1,5.3,8,2
Apr-17,13.6,8,1,13.6,8,1,11.3,8,1,14.8,8,1,12.5,8,2
May-17,18.1,8,1,18.6,8,1,16.7,8,1,20.9,8,1,18.4,8,2
Jun-17,20,8,1,20.6,8,1,18.7,8,1,22.5,8,1,20.4,8,2
Jul-17,26.8,8,1,27.1,8,1,25,8,1,28.4,8,1,26.3,8,2
Aug-17,26.7,8,1,26.9,8,1,24.9,8,1,28.7,8,1,26.4,8,2
Sep-17,21.7,8,1,21.8,8,1,19.8,8,1,23.7,8,1,21,8,2
Oct-17,17.1,8,1,17,8,1,15,8,1,18,8,1,15.9,8,2
Nov-17,10.5,8,1,10.1,8,1,7.8,8,1,11.2,8,1,8,8,2
Dec-17,5,8,1,4.4,8,1,2.3,8,1,5.6,8,1,2.8,8,2
Jan-18,3.4,8,1,3,8,1,1,8,1,3.9,8,1,1.5,8,2
Feb-18,2.9,8,1,2.7,8,1,0.6,8,1,4.4,8,1,1.5,8,2
Mar-18,9,8,1,9.1,8,1,7.3,8,1,10.9,8,1,8.1,8,2
Apr-18,14.1,8,1,14.6,8,1,12.9,5,1,16.4,8,1,13.7,8,2
May-18,17.9,8,1,18.2,8,1,16.5,8,1,20,8,1,17.6,8,2
Jun-18,21.4,8,1,21.9,8,1,20.3,8,1,23.4,8,1,21.5,8,2
Jul-18,27.3,8,1,27.9,8,1,26,5,1,29.8,8,1,27.5,8,2
Aug-18,27.6,8,1,27.8,8,1,25.6,8,1,29.5,8,1,27,8,2
Sep-18,22.3,8,1,22.1,8,1,20.9,8,1,23.6,8,1,21.7,8,2
Oct-18,17,8,1,16.9,8,1,15.1,8,1,18.7,8,1,15.7,8,2
Nov-18,12.5,8,1,11.9,8,1,10.4,8,1,13.5,8,1,10.6,8,2
Dec-18,7.5,8,1,7,8,1,5.5,8,1,8.2,8,1,5.7,8,2
Jan-19,4.7,8,1,4.2,8,1,2.1,8,1,5.1,8,1,2.5,8,2
Feb-19,6.1,8,1,5.9,8,1,3.6,8,1,6.9,8,1,4.5,8,2
Mar-19,8.3,8,1,8.1,8,1,6.2,8,1,9.6,8,1,6.9,8,2
Apr-19,11.6,8,1,11.8,8,1,10.1,8,1,13.9,8,1,11.2,8,2
May-19,18,8,1,18.6,8,1,16.5,8,1,20.7,8,1,17.9,8,2
Jun-19,21.1,8,1,21.7,8,1,20.2,8,1,23.6,8,1,21.7,8,2
Jul-19,24.9,8,1,25.2,8,1,23.6,8,1,26.4,8,1,24.7,8,2
Aug-19,27.4,8,1,28,8,1,26.1,8,1,29.3,8,1,27.3,8,2
Sep-19,24.3,8,1,24.4,8,1,22.6,8,1,26.2,8,1,23.8,8,2
Oct-19,18.3,8,1,18.4,8,1,16.8,8,1,20,8,1,17.7,8,2
Nov-19,11.8,8,1,11.6,8,1,9.3,8,1,12.9,8,1,9.7,8,2
Dec-19,7.8,8,1,7.3,5,1,5.3,5,1,8.3,8,1,5.4,8,2
Jan-20,7.3,8,1,6.8,8,1,4.8,8,1,7.5,8,1,5.3,8,2
Feb-20,6.3,8,1,5.8,8,1,3.6,8,1,6.9,8,1,4.4,8,2
Mar-20,8.9,8,1,9.1,8,1,7.4,8,1,10.6,8,1,8.1,8,2
Apr-20,11,8,1,11.2,8,1,9.3,8,1,12.9,8,1,10.3,8,2
May-20,17.8,8,1,18.3,8,1,16.9,8,1,20.6,8,1,18.4,8,2
Jun-20,22.5,5,1,23.1,8,1,21.4,8,1,24.7,8,1,22.7,8,2
Jul-20,24.1,8,1,24.3,8,1,23.1,8,1,25.7,8,1,24.1,8,2
Aug-20,28.2,8,1,28.7,8,1,26.6,8,1,30.5,8,1,27.9,8,2
Sep-20,23.9,8,1,23.9,8,1,22.2,8,1,25.5,8,1,23.3,8,2
Oct-20,16.9,8,1,16.6,8,1,14.4,8,1,17.9,8,1,15.2,8,2
Nov-20,12.9,8,1,12.2,8,1,10.2,5,1,13.6,8,1,10.4,8,2
Dec-20,6.1,8,1,5.5,8,1,3.7,8,1,7.2,8,1,4,8,2
Jan-21,4.1,8,1,3.6,8,1,1.6,8,1,5.1,8,1,2.3,8,2
Feb-21,6.5,8,1,6.1,8,1,4.1,8,1,7.7,8,1,4.9,8,2
Mar-21,9.7,8,1,9.8,8,1,8.1,8,1,11.6,8,1,8.9,8,2
Apr-21,12.7,8,1,13,8,1,11.1,8,1,14.8,8,1,12.2,8,2
May-21,17.7,8,1,17.9,8,1,16.5,8,1,19.4,8,1,17.6,8,2
Jun-21,21.7,8,1,22.1,8,1,20.5,8,1,23.9,8,1,21.8,8,2
Jul-21,26.1,8,1,26.4,8,1,24.6,8,1,27.9,8,1,25.8,8,2
Aug-21,26.2,8,1,26.4,8,1,24.7,8,1,27.7,8,1,25.7,8,2
Sep-21,23.2,8,1,23.3,8,1,21.4,8,1,24.6,8,1,22.6,8,2
Oct-21,18.1,8,1,18.2,8,1,16,8,1,19.6,8,1,16.8,8,2
Nov-21,11.9,8,1,11,8,1,9,8,1,12.9,8,1,9.4,8,2
Dec-21,6.7,8,1,6.3,5,1,4.1,8,1,7.4,8,1,4.8,8,2
Jan-22,3.4,8,1,2.6,8,1,0.7,8,1,4.2,8,1,1.7,8,2
Feb-22,2.8,8,1,2.4,8,1,0.8,8,1,4.5,8,1,1.7,8,2
Mar-22,8.8,8,1,8.8,8,1,6.8,8,1,10.5,8,1,7.8,8,2
Apr-22,13.6,8,1,14,8,1,12.5,8,1,16.5,8,1,13.6,8,2
May-22,17.6,8,1,17.9,8,1,15.9,8,1,19.7,8,1,17.4,8,2
Jun-22,22.6,8,1,23.1,8,1,21.3,8,1,24.4,8,1,22.4,8,2
Jul-22,26.6,8,1,26.9,8,1,25,8,1,28.1,8,1,26.2,8,2
Aug-22,27.7,8,1,27.8,8,1,25.7,8,1,29,8,1,26.8,8,2
Sep-22,24.1,8,1,24.3,8,1,22.6,8,1,25.9,8,1,23.7,8,2
Oct-22,16.8,8,1,16.7,8,1,14.6,5,1,18.1,8,1,15.2,8,2
Nov-22,13.4,8,1,12.7,8,1,11.1,8,1,14.1,8,1,10.7,5,2
Dec-22,5.8,8,1,5.1,8,1,3.2,8,1,6.4,8,1,3.2,8,2
