ダウンロードした時刻：2023/06/17 23:19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,大月,大月,大月,勝沼,勝沼,勝沼,甲府,甲府,甲府,韮崎,韮崎,韮崎,大泉,大泉,大泉,古関,古関,古関,河口湖,河口湖,河口湖,山中,山中,山中,南部,南部,南部,切石,切石,切石
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Jan-00,3.4,8,1,3.8,8,1,4.8,8,1,4,8,1,1.3,8,1,2.4,8,1,1.5,8,1,-0.4,8,1,5.2,8,1,3.8,8,1
Feb-00,2,8,1,2.2,8,1,3.4,8,1,2.5,8,1,-1.2,8,1,0.5,8,1,-0.9,8,1,-3,8,1,3.3,8,1,2.2,8,1
Mar-00,6.1,8,1,6.5,8,1,7.4,8,1,6.3,8,1,2.9,8,1,4.5,8,1,3.3,8,1,1.1,8,1,7.2,8,1,6.3,8,1
Apr-00,11.4,8,1,12.5,8,1,13.4,8,1,12.4,8,1,9.1,8,1,10.5,8,1,8.6,8,1,7,8,1,12.9,8,1,12.3,8,1
May-00,17.8,8,1,18.9,8,1,19.7,8,1,18.8,8,1,15.3,8,1,16.7,8,1,15,8,1,13.2,8,1,19,8,1,18.5,8,1
Jun-00,20.4,8,1,21.3,8,1,22.1,8,1,21.2,8,1,18,8,1,19.4,8,1,17.8,8,1,16.2,8,1,21.4,8,1,21.1,8,1
Jul-00,24.8,8,1,25.2,8,1,26.2,8,1,25.2,8,1,22.2,8,1,23.3,8,1,22.1,8,1,20.4,8,1,25.6,8,1,25.2,8,1
Aug-00,25.4,8,1,26,8,1,27,8,1,26.2,8,1,23.1,8,1,24,8,1,22.6,8,1,21,8,1,26.6,8,1,26.3,8,1
Sep-00,21.4,8,1,21.9,8,1,23,8,1,22,8,1,19,8,1,19.9,8,1,19,8,1,17.3,8,1,22.8,8,1,21.8,8,1
Oct-00,15.4,8,1,16.3,8,1,17.5,8,1,16.4,8,1,13.5,8,1,14.8,8,1,13.5,8,1,12.1,8,1,17.7,8,1,16.8,8,1
Nov-00,9.6,8,1,10.6,8,1,11.6,8,1,10.7,8,1,8.4,8,1,9.5,8,1,8.3,8,1,6.8,8,1,12.4,8,1,10.9,8,1
Dec-00,4.1,8,1,4.6,8,1,5.5,8,1,4.8,8,1,2.5,8,1,2.9,8,1,2.2,8,1,0.2,8,1,5.8,8,1,4.2,8,1
Jan-01,0.2,8,1,0.6,8,1,1.5,8,1,0.8,8,1,-1.8,8,1,-1.2,8,1,-1.8,8,1,-4.1,8,1,2.6,8,1,0.6,8,1
Feb-01,2.5,8,1,3,8,1,3.9,8,1,3.1,8,1,0.1,8,1,1.2,8,1,0,8,1,-2.1,8,1,4.7,8,1,2.9,8,1
Mar-01,6.6,8,1,7.1,8,1,8,8,1,7.1,8,1,3.9,8,1,5.4,8,1,3.8,8,1,1.7,8,1,8.1,8,1,7.2,8,1
Apr-01,12.4,8,1,13.4,8,1,14,8,1,13.1,8,1,10.1,8,1,11.5,8,1,9.4,8,1,7.4,8,1,13.9,8,1,13.3,8,1
May-01,17,8,1,18.2,8,1,18.7,8,1,18.1,8,1,15.1,8,1,16,8,1,14.3,8,1,12.5,8,1,18.2,8,1,17.7,8,1
Jun-01,20.8,8,1,21.9,8,1,22.4,8,1,21.7,8,1,19,8,1,20.1,8,1,18.5,8,1,16.8,8,1,22.1,8,1,21.7,8,1
Jul-01,26.4,8,1,27.1,8,1,27.7,8,1,27,8,1,23.9,8,1,25.1,8,1,23.5,8,1,21.7,8,1,26.9,8,1,26.7,8,1
Aug-01,23.6,8,1,25.2,8,1,26.2,8,1,25.6,8,1,22.5,8,1,23.7,8,1,21.6,8,1,20.2,8,1,25.6,8,1,25.5,8,1
Sep-01,19.9,8,1,21.1,8,1,22.1,8,1,21.3,8,1,18.2,8,1,19.3,8,1,17.7,8,1,16.2,8,1,22,8,1,21.3,8,1
Oct-01,14.6,8,1,15.2,8,1,16.2,8,1,15.4,8,1,12.9,8,1,13.7,8,1,12.7,8,1,11.1,8,1,16.8,8,1,15.4,8,1
Nov-01,8,8,1,8.5,8,1,9.4,8,1,8.8,8,1,6.8,8,1,7.1,8,1,6.3,8,1,4.3,8,1,9.8,8,1,8.2,8,1
Dec-01,3.4,8,1,3.8,8,1,4.7,8,1,4.1,8,1,1.8,8,1,2.1,8,1,1.5,8,1,-0.6,8,1,5,8,1,3.5,8,1
Jan-02,2.6,8,1,2.7,8,1,3.4,8,1,2.9,8,1,0.8,8,1,1.2,8,1,0.4,8,1,-1.7,8,1,3.9,8,1,2.5,8,1
Feb-02,3.6,8,1,4.3,8,1,5.3,8,1,4.4,8,1,1.2,8,1,2.5,8,1,0.8,8,1,-1.3,8,1,5.6,8,1,4.5,8,1
Mar-02,8.8,8,1,9.6,8,1,10.4,8,1,9.5,8,1,6.3,8,1,7.8,8,1,6.4,8,1,4.5,8,1,10.1,8,1,9.4,8,1
Apr-02,13.7,8,1,14.6,8,1,15.2,8,1,14.3,8,1,11.2,8,1,12.8,8,1,11.1,8,1,9.3,8,1,15.2,8,1,14.7,8,1
May-02,16.1,8,1,17.5,8,1,18.2,8,1,17.5,8,1,14.5,8,1,15.7,8,1,13.7,8,1,12.1,8,1,17.7,8,1,17.4,8,1
Jun-02,19.3,8,1,21,8,1,21.7,8,1,21.1,8,1,17.9,8,1,19.2,8,1,17.1,8,1,15.4,8,1,21,8,1,20.9,8,1
Jul-02,26.2,8,1,26.6,8,1,27.1,8,1,26.3,8,1,23.4,8,1,24.7,8,1,23.5,8,1,21.9,8,1,26.5,8,1,26.4,8,1
Aug-02,25.6,8,1,26.2,8,1,27.1,8,1,26.3,8,1,23.1,8,1,23.9,8,1,22.6,8,1,21,8,1,26.8,8,1,26.4,8,1
Sep-02,19.8,8,1,21,8,1,22.1,8,1,21.3,8,1,18.2,8,1,19.1,8,1,17.5,8,1,16,8,1,22,8,1,21.4,8,1
Oct-02,14.8,8,1,15.4,8,1,16.4,8,1,15.5,8,1,12.8,8,1,13.5,8,1,12.5,8,1,10.5,8,1,16.7,8,1,15.5,8,1
Nov-02,6.9,8,1,7.4,8,1,8.4,8,1,7.8,8,1,5.4,8,1,5.6,8,1,4.8,8,1,3,8,1,8.4,8,1,7.3,8,1
Dec-02,3.1,8,1,3.6,8,1,4.2,8,1,3.6,8,1,1.4,8,1,2.1,8,1,1.1,8,1,-0.8,8,1,5.5,8,1,3.7,8,1
Jan-03,1,8,1,1.1,8,1,2.1,8,1,1.2,8,1,-1.3,8,1,-0.9,8,1,-1.5,8,1,-3.3,8,1,2.7,8,1,0.8,8,1
Feb-03,3,8,1,4,8,1,5.1,8,1,4.2,8,1,0.6,8,1,2.2,8,1,0.6,8,1,-1.3,8,1,5.4,8,1,4.2,8,1
Mar-03,5.4,8,1,6,8,1,7,8,1,6,8,1,2.4,8,1,4.3,8,1,2.5,8,1,0.8,8,1,7.1,8,1,6.1,8,1
Apr-03,12.7,8,1,13.8,8,1,14.7,8,1,13.6,8,1,10.5,8,1,12.4,8,1,10.4,8,1,8.8,8,1,14.7,8,1,13.9,8,1
May-03,16.2,8,1,17.5,8,1,18.4,8,1,17.4,8,1,14.4,8,1,15.5,8,1,13.7,8,1,12,8,1,17.9,8,1,17.5,8,1
Jun-03,20.8,8,1,21.7,8,1,22.6,8,1,21.6,8,1,18.6,8,1,19.8,8,1,18.5,8,1,16.7,8,1,22.1,8,1,21.6,8,1
Jul-03,21.1,8,1,22.5,8,1,23.3,8,1,22.4,8,1,19.5,8,1,21,8,1,19.1,8,1,17.8,8,1,22.6,8,1,22.5,8,1
Aug-03,23.9,8,1,24.8,8,1,25.8,8,1,24.6,8,1,22.1,8,1,23.1,8,1,21.7,8,1,20.1,8,1,25.1,8,1,24.8,8,1
Sep-03,21.4,8,1,22.5,8,1,23.7,8,1,22.7,8,1,19.6,8,1,20.6,8,1,19.2,8,1,17.5,8,1,23.4,8,1,22.7,8,1
Oct-03,13.8,8,1,14.3,8,1,15.4,8,1,14.4,8,1,11.7,8,1,12.5,8,1,11.4,8,1,9.8,8,1,15.7,8,1,14.4,8,1
Nov-03,11.2,8,1,11.9,8,1,13,8,1,12,8,1,9.6,8,1,10.4,8,1,9.5,8,1,8,8,1,13.3,8,1,12.1,8,1
Dec-03,4.7,8,1,5,8,1,6.2,8,1,5.3,8,1,3,8,1,3.4,8,1,2.7,8,1,0.7,8,1,6.3,8,1,4.7,8,1
Jan-04,1.5,8,1,1.9,8,1,2.8,8,1,2,8,1,-0.6,8,1,0.1,8,1,-0.9,8,1,-3.2,8,1,3.2,8,1,1.6,8,1
Feb-04,4.3,8,1,4.8,8,1,5.9,8,1,4.8,8,1,2,8,1,3,8,1,1.8,8,1,-0.4,8,1,5.6,8,1,4.5,8,1
Mar-04,6.5,8,1,7.2,8,1,8.1,8,1,7.1,8,1,4.2,8,1,5.7,8,1,3.8,8,1,2,8,1,8.2,8,1,7.4,8,1
Apr-04,13.8,8,1,14.5,8,1,15.4,8,1,14.3,8,1,11.3,8,1,12.6,8,1,10.9,8,1,9.1,8,1,14.8,8,1,14.3,8,1
May-04,17.9,8,1,19.2,8,1,20,8,1,18.7,8,1,16,8,1,17.6,8,1,15.6,8,1,14,8,1,19.4,8,1,19.1,8,1
Jun-04,21.7,8,1,22.7,8,1,23.4,8,1,22.2,8,1,19.4,8,1,20.8,8,1,19.2,8,1,17.5,8,1,22.7,8,1,22.3,8,1
Jul-04,26,8,1,26.9,8,1,27.9,8,1,26.7,8,1,23.9,8,1,24.7,8,1,23.2,8,1,21.3,8,1,26.7,8,1,26.5,8,1
Aug-04,24.3,8,1,25.1,8,1,26.1,8,1,25,8,1,22,8,1,23.2,8,1,21.6,8,1,20,8,1,25.6,8,1,25.3,8,1
Sep-04,22.2,8,1,23.2,8,1,24.4,8,1,22.9,8,1,20.2,8,1,21.6,8,1,19.8,8,1,18.2,8,1,23.9,8,1,23.2,8,1
Oct-04,14.2,8,1,15.2,8,1,16.3,8,1,15.2,8,1,12.8,8,1,13.6,8,1,12.2,8,1,10.7,8,1,16.5,8,1,15.3,8,1
Nov-04,11,8,1,11.5,8,1,12.6,8,1,11.5,8,1,9.5,8,1,9.9,8,1,8.8,8,1,7,8,1,12.8,8,1,11.3,8,1
Dec-04,5.5,8,1,5.8,8,1,6.9,8,1,5.9,8,1,4,8,1,4.4,8,1,3.8,8,1,1.7,8,1,7.5,8,1,5.6,8,1
Jan-05,1.3,8,1,1.2,8,1,2.4,8,1,1.5,8,1,-0.5,8,1,-0.5,8,1,-0.9,8,1,-3,8,1,2.9,8,1,1.1,8,1
Feb-05,2.5,8,1,3.4,8,1,4.5,8,1,3.4,8,1,0.2,8,1,1.5,8,1,-0.1,8,1,-2.2,8,1,4.5,8,1,3.5,8,1
Mar-05,5.6,8,1,6.6,8,1,7.6,8,1,6.2,5,1,3.3,8,1,4.9,8,1,3.3,8,1,1,8,1,7.4,8,1,6.5,8,1
Apr-05,12.7,8,1,13.6,8,1,14.5,8,1,13.2,8,1,10.6,8,1,12,8,1,10.1,8,1,8.4,8,1,13.9,8,1,13.5,8,1
May-05,15.7,8,1,17.3,8,1,18.3,8,1,17,8,1,13.8,8,1,15.2,8,1,13.1,8,1,11.3,8,1,17.5,8,1,17.2,8,1
Jun-05,21.5,8,1,22.6,8,1,23.4,8,1,22.2,8,1,19.6,8,1,20.6,8,1,18.8,8,1,17.2,8,1,22.5,8,1,22.4,8,1
Jul-05,23.8,8,1,24.7,8,1,25.6,8,1,24.1,8,1,21.8,8,1,23,8,1,21.5,8,1,20.1,8,1,24.9,8,1,24.6,8,1
Aug-05,25.5,8,1,26.1,8,1,27.2,8,1,25.2,8,1,23.1,8,1,24.3,8,1,22.8,8,1,21.1,8,1,26.2,8,1,26.2,8,1
Sep-05,21.7,8,1,23,8,1,24.3,8,1,22.6,8,1,20.1,8,1,21.3,8,1,19.2,8,1,17.7,8,1,23.7,8,1,23.3,8,1
Oct-05,15.8,8,1,16.8,8,1,18.1,8,1,16.7,8,1,14.2,8,1,15.1,8,1,13.5,8,1,12,8,1,17.9,8,1,17,8,1
Nov-05,8,8,1,8.4,8,1,9.6,8,1,8.3,8,1,6.7,8,1,7,8,1,6.1,5,1,4.1,8,1,9.9,5,1,8.4,8,1
Dec-05,1.6,8,1,1.7,8,1,2.9,8,1,1.6,8,1,-0.8,8,1,-0.4,8,1,-1.1,8,1,-3.7,8,1,2.9,8,1,1.4,8,1
Jan-06,1.1,8,1,1.5,8,1,2.6,8,1,1.6,8,1,-0.9,8,1,-0.2,8,1,-1,8,1,-3.6,8,1,3.1,8,1,1.4,8,1
Feb-06,3.3,8,1,4.2,8,1,5.3,8,1,3.9,8,1,1.8,8,1,2.7,8,1,1.1,8,1,-0.8,8,1,5.4,8,1,4.2,8,1
Mar-06,6.5,8,1,7,8,1,8.1,8,1,6.6,8,1,3.6,8,1,5.3,8,1,3.5,8,1,1.7,8,1,7.7,8,1,6.9,8,1
Apr-06,11.3,8,1,12,8,1,13.1,8,1,11.9,8,1,8.8,8,1,10.3,8,1,8.4,8,1,6.8,8,1,12.5,8,1,12,8,1
May-06,16.8,8,1,17.7,8,1,18.5,8,1,17.4,8,1,14.7,8,1,15.8,8,1,14.2,8,1,12.6,8,1,17.8,8,1,17.4,8,1
Jun-06,20.4,8,1,21.3,8,1,22.3,8,1,21,8,1,18.5,8,1,19.5,8,1,17.7,8,1,16.3,8,1,21.5,8,1,21.2,8,1
Jul-06,23.6,8,1,24.5,8,1,25.2,8,1,23.8,8,1,21.6,8,1,22.9,8,1,21.5,8,1,20.1,8,1,24.5,8,1,24.2,8,1
Aug-06,24.9,8,1,25.9,8,1,27,8,1,25.4,8,1,23.1,8,1,24.1,8,1,22.4,8,1,21,8,1,26.2,8,1,26,8,1
Sep-06,20.7,8,1,21.7,8,1,22.8,8,1,21.2,8,1,18.9,8,1,19.8,8,1,18.1,8,1,16.6,8,1,22.6,8,1,21.9,8,1
Oct-06,16.1,8,1,17,8,1,18.3,8,1,16.8,8,1,14.2,8,1,15.2,8,1,13.7,8,1,11.9,8,1,18.4,8,1,17,8,1
Nov-06,10.1,8,1,10.2,8,1,11.4,8,1,10,8,1,8.1,8,1,8.8,8,1,8.1,8,1,6.2,8,1,11.7,8,1,10.3,8,1
Dec-06,5,5,1,5,8,1,6.2,8,1,5,8,1,3.1,8,1,3.6,8,1,2.8,8,1,0.9,8,1,6.4,8,1,5.1,8,1
Jan-07,2.8,8,1,3.1,8,1,4.2,8,1,3.1,8,1,0.7,8,1,1.4,8,1,0.5,8,1,-1.4,8,1,4.9,8,1,3.1,8,1
Feb-07,4.8,8,1,5.5,8,1,6.6,8,1,5.4,8,1,2.6,8,1,3.9,8,1,2.6,8,1,0.4,8,1,6.8,8,1,5.6,8,1
Mar-07,7.7,8,1,8.1,8,1,9.1,8,1,7.6,8,1,4.5,8,1,6.4,8,1,4.8,8,1,2.7,8,1,9.3,8,1,8.1,8,1
Apr-07,10.9,8,1,11.9,8,1,12.9,8,1,11.6,8,1,8.8,8,1,10.3,8,1,8.1,8,1,6.4,8,1,12.7,8,1,12.2,8,1
May-07,16.8,8,1,17.6,8,1,18.4,8,1,17.1,8,1,14.4,8,1,15.4,8,1,14.2,8,1,12.7,8,1,18.1,8,1,17.2,8,1
Jun-07,20.5,8,1,21.5,8,1,22.4,8,1,21.1,8,1,18.3,8,1,19.4,8,1,17.7,8,1,16.3,8,1,21.7,8,1,21.3,8,1
Jul-07,22.2,8,1,23.6,8,1,24.5,8,1,23.1,8,1,20.7,8,1,21.9,8,1,20,8,1,18.9,8,1,23.6,8,1,23.4,8,1
Aug-07,26,8,1,26.7,8,1,27.7,8,1,25.7,8,1,23.6,8,1,24.9,8,1,23.3,8,1,21.7,8,1,26.9,8,1,26.5,8,1
Sep-07,22.1,8,1,23.5,8,1,24.7,8,1,23.1,8,1,20.7,8,1,21.7,8,1,19.9,8,1,18.6,8,1,24.2,8,1,23.6,8,1
Oct-07,15.2,8,1,15.8,5,1,17,8,1,15.6,8,1,13.1,8,1,14.1,8,1,12.9,8,1,11.4,8,1,17.1,8,1,16,8,1
Nov-07,9.1,8,1,10,8,1,11.1,8,1,9.8,8,1,7.5,8,1,8.2,8,1,7.1,8,1,5.6,8,1,11.2,8,1,9.8,8,1
Dec-07,4,8,1,4.5,8,1,5.5,8,1,4.1,8,1,3.1,8,1,3.1,8,1,2.1,8,1,0.3,8,1,5.9,8,1,4.4,8,1
Jan-08,1.7,8,1,2,8,1,3,8,1,1.9,8,1,-0.3,8,1,0.4,8,1,-0.7,8,1,-2.5,8,1,3.5,8,1,1.9,8,1
Feb-08,1.5,8,1,1.4,8,1,2.8,8,1,1.5,5,1,-1.9,8,1,-0.4,5,1,-1.9,8,1,-3.9,8,1,3.4,8,1,1.7,5,1
Mar-08,7.4,8,1,8.5,8,1,9.4,8,1,8.3,8,1,5.3,8,1,6.6,8,1,4.5,8,1,2.9,8,1,9.2,8,1,8.6,8,1
Apr-08,11.9,8,1,13.3,8,1,14.2,8,1,13.2,8,1,10.2,8,1,11.6,8,1,9.4,8,1,7.9,8,1,14.1,8,1,13.4,8,1
May-08,15.9,8,1,17.3,8,1,18.1,8,1,17,8,1,14.2,8,1,15.4,8,1,13.2,8,1,11.9,8,1,18.1,8,1,17.4,8,1
Jun-08,19.3,8,1,20.6,8,1,21.1,8,1,20.1,8,1,17.5,8,1,18.7,8,1,16.7,8,1,15.4,8,1,20.6,8,1,20.3,8,1
Jul-08,24.4,8,1,25.7,8,1,26.4,8,1,24.9,8,1,22.7,8,1,24.2,8,1,22.2,8,1,20.9,8,1,25.9,8,1,25.7,8,1
Aug-08,23.8,8,1,25.3,8,1,26.3,8,1,24.6,8,1,22.5,8,1,23.7,8,1,21.7,8,1,20.6,8,1,26,8,1,25.6,8,1
Sep-08,20.8,8,1,21.5,8,1,22.8,8,1,21.1,8,1,18.9,8,1,20.2,8,1,18.5,8,1,17.2,8,1,22.9,8,1,22,8,1
Oct-08,15.4,8,1,16.2,8,1,17.1,8,1,15.6,8,1,13.4,8,1,14.3,8,1,13,8,1,11.6,8,1,17.6,8,1,16.3,8,1
Nov-08,8.8,8,1,9.2,8,1,10.2,8,1,8.9,8,1,7.1,8,1,7.5,8,1,6.9,8,1,5.2,8,1,10.7,8,1,9.4,8,1
Dec-08,5.2,5,1,5.3,8,1,5.9,8,1,4.6,8,1,3.5,8,1,3.7,8,1,3.3,8,1,1.5,8,1,6.7,5,1,5.2,8,1
Jan-09,2.1,8,1,2.7,8,1,3.5,8,1,2.3,8,1,0.4,8,1,0.9,8,1,0.1,8,1,-2.2,8,1,4.1,8,1,2.6,8,1
Feb-09,4.8,8,1,5.7,8,1,6.7,8,1,5.3,8,1,2.7,8,1,4.1,8,1,3.1,8,1,1.3,8,1,7.2,8,1,6,8,1
Mar-09,7,8,1,7.4,5,1,8.5,8,1,7.1,8,1,4.2,5,1,6,8,1,4.5,8,1,2.9,5,1,8.8,8,1,8,8,1
Apr-09,12.5,8,1,13.8,8,1,14.6,8,1,13.1,8,1,10.3,8,1,12.2,8,1,9.9,8,1,8,8,1,14.2,8,1,13.7,8,1
May-09,17.2,8,1,18.1,8,1,18.8,8,1,17.5,8,1,15,8,1,16.5,8,1,14.8,8,1,13.4,8,1,18.7,8,1,18.2,8,1
Jun-09,20.1,8,1,21.1,8,1,22,8,1,20.7,8,1,18.3,8,1,19.4,8,1,17.8,8,1,16.6,8,1,21.6,8,1,21.3,8,1
Jul-09,23.8,8,1,24.7,8,1,25.4,8,1,23.7,8,1,21.8,8,1,23.2,8,1,21.9,8,1,20.7,8,1,25.2,8,1,24.7,8,1
Aug-09,24.1,8,1,25.4,8,1,26.2,8,1,24.4,8,1,22.5,8,1,23.6,8,1,21.8,8,1,20.7,8,1,25.8,8,1,25.4,8,1
Sep-09,19.8,8,1,21.4,8,1,22.5,8,1,20.7,8,1,18.2,8,1,19.4,8,1,17.5,8,1,16.4,8,1,22.6,8,1,21.8,8,1
Oct-09,14.5,8,1,15.3,8,1,16.5,8,1,15,8,1,12.8,8,1,13.7,8,1,12.5,8,1,11.2,8,1,16.9,8,1,15.6,8,1
Nov-09,9.4,8,1,9.8,8,1,10.9,8,1,9.6,8,1,7.7,8,1,8.7,8,1,7.5,8,1,6.2,8,1,11.8,8,1,10.4,8,1
Dec-09,4,8,1,4.3,8,1,5.4,8,1,4.3,8,1,3.5,4,1,4.1,4,1,2.5,8,1,0.5,8,1,6.6,8,1,4.9,8,1
Jan-10,2.3,8,1,2.1,8,1,3.2,8,1,1.9,8,1,0.2,8,1,0.6,8,1,0.2,8,1,-2,8,1,3.6,8,1,1.4,4,1
Feb-10,5.3,4,1,4.2,8,1,5.3,8,1,4.2,8,1,1.8,8,1,2.8,8,1,0.8,8,1,-1,8,1,5.7,8,1,4.9,5,1
Mar-10,6.5,8,1,7.5,8,1,8.6,8,1,7.2,8,1,4.3,8,1,6.3,8,1,4.3,8,1,3.1,8,1,8.9,8,1,7.9,8,1
Apr-10,10.2,8,1,10.8,8,1,11.8,8,1,10.5,8,1,7.9,5,1,9.6,8,1,7.7,8,1,6.5,8,1,12.2,8,1,11.4,8,1
May-10,16.2,8,1,16.9,8,1,17.6,8,1,16.5,8,1,13.8,8,1,15.3,8,1,13.7,8,1,12.3,8,1,17.7,8,1,16.8,8,1
Jun-10,21.3,8,1,22,8,1,22.6,8,1,21.4,8,1,19.1,8,1,20.1,8,1,18.7,8,1,17.6,8,1,22.3,8,1,21.7,8,1
Jul-10,25.3,8,1,26.1,8,1,26.8,8,1,25.2,8,1,23.2,8,1,24.6,8,1,22.9,8,1,21.8,8,1,26.3,8,1,25.9,8,1
Aug-10,26.9,8,1,27.5,8,1,28.3,8,1,26.6,8,1,24.7,8,1,25.7,8,1,24,8,1,22.8,8,1,27.8,8,1,27.4,8,1
Sep-10,22.5,8,1,23.4,8,1,24.3,8,1,22.7,8,1,20.6,8,1,21.8,8,1,20,8,1,18.7,8,1,24.3,8,1,23.5,8,1
Oct-10,15.8,8,1,16.6,8,1,17.7,8,1,16.2,8,1,14,8,1,14.9,8,1,13.6,8,1,12.4,8,1,18.1,8,1,16.9,8,1
Nov-10,8.8,8,1,8.5,8,1,9.7,8,1,8.3,8,1,6.8,8,1,7.1,8,1,6.6,8,1,5.1,8,1,10.5,8,1,8.7,8,1
Dec-10,5.2,8,1,5.2,8,1,6.2,8,1,5,8,1,3.3,8,1,3.6,8,1,3.4,8,1,1.7,8,1,6.9,8,1,5.2,8,1
Jan-11,0.7,8,1,0.7,8,1,2,8,1,0.7,8,1,-1.8,8,1,-1.1,8,1,-1.9,8,1,-4.5,8,1,2.3,5,1,0.4,8,1
Feb-11,3.7,8,1,4.5,8,1,5.7,8,1,4.2,8,1,1.7,8,1,3,8,1,1.5,8,1,-0.2,8,1,6.2,8,1,4.8,8,1
Mar-11,4.6,8,1,5.2,8,1,6.6,5,1,4.9,8,1,1.9,8,1,3.6,8,1,1.8,8,1,-0.1,8,1,6.6,8,1,5.4,8,1
Apr-11,11.7,8,1,12.3,8,1,13.2,8,1,11.5,8,1,8.7,8,1,10.7,8,1,9.1,8,1,7.1,8,1,13.4,8,1,12.4,8,1
May-11,16.1,8,1,17,8,1,18,8,1,16.6,8,1,14.1,8,1,15.3,8,1,13.8,8,1,12.4,8,1,17.5,8,1,16.6,8,1
Jun-11,20.9,8,1,22.2,8,1,23.1,8,1,21.4,8,1,19.3,8,1,20.5,8,1,18.8,8,1,17.7,8,1,22.4,8,1,21.9,8,1
Jul-11,24.8,8,1,25.6,8,1,26.8,8,1,24.8,8,1,23,8,1,24,8,1,22.4,8,1,21.2,8,1,26,8,1,25.4,8,1
Aug-11,24.5,8,1,25.8,8,1,26.8,8,1,24.7,8,1,22.9,8,1,24,8,1,22.2,8,1,21.3,8,1,26.3,8,1,25.6,8,1
Sep-11,21.3,8,1,22.2,8,1,23.2,8,1,21.4,8,1,19.5,8,1,20.3,8,1,19.1,8,1,18,8,1,23.2,8,1,21.9,8,1
Oct-11,15.3,8,1,15.9,8,1,17.2,8,1,15.3,8,1,13.2,8,1,14.1,8,1,13.1,8,1,11.8,8,1,17.6,8,1,15.9,8,1
Nov-11,10.7,8,1,10.9,8,1,12,8,1,10.6,8,1,9.1,8,1,9.4,8,1,9.1,8,1,7.9,8,1,12.6,8,1,10.8,8,1
Dec-11,2.9,8,1,3.6,8,1,4.9,8,1,3.4,8,1,1.8,8,1,2,8,1,1.4,8,1,-0.7,8,1,5.4,8,1,3.5,8,1
Jan-12,0.4,8,1,1,8,1,2.2,8,1,0.8,8,1,-1.4,8,1,-0.6,8,1,-2,8,1,-4.3,8,1,3,8,1,1,8,1
Feb-12,1.8,8,1,2.4,8,1,3.5,8,1,2,8,1,-0.6,8,1,0.8,8,1,-0.6,8,1,-2.2,8,1,4.2,8,1,2.6,8,1
Mar-12,5.7,8,1,6.6,8,1,7.8,8,1,6.2,8,1,3.6,8,1,5,8,1,3.5,8,1,2,8,1,8,8,1,6.9,8,1
Apr-12,11.7,8,1,12.6,8,1,13.8,8,1,12.1,8,1,9.5,8,1,11.1,8,1,9,8,1,7.7,8,1,13.5,8,1,12.8,8,1
May-12,16.4,8,1,17.5,8,1,18.4,8,1,16.7,8,1,14.2,8,1,15.3,8,1,14,8,1,12.6,8,1,18.1,8,1,17.1,8,1
Jun-12,19.1,8,1,20.7,8,1,21.8,8,1,20.2,8,1,18,8,1,19,8,1,16.8,8,1,15.7,8,1,21.1,8,1,20.5,8,1
Jul-12,24.1,8,1,25.3,8,1,26.2,8,1,24.3,8,1,22.4,8,1,23.7,8,1,21.9,8,1,20.9,8,1,25.3,8,1,25,8,1
Aug-12,25.6,8,1,27,8,1,27.8,8,1,25.8,8,1,23.9,8,1,24.8,8,1,22.9,8,1,21.4,8,1,27.1,8,1,26.6,8,1
Sep-12,22.2,8,1,23.5,8,1,24.7,8,1,22.8,8,1,20.8,8,1,21.5,8,1,19.6,8,1,18.5,8,1,24.4,8,1,23.6,8,1
Oct-12,15.3,8,1,16.1,8,1,17.4,8,1,15.6,8,1,13.3,8,1,14.2,8,1,13.2,8,1,11.8,8,1,17.8,8,1,16.2,8,1
Nov-12,8,8,1,8.4,8,1,9.7,8,1,8.3,8,1,6.5,8,1,6.7,8,1,6.7,8,1,4.9,8,1,10,8,1,8.3,8,1
Dec-12,3.1,8,1,2.8,8,1,3.8,8,1,2.4,8,1,0.9,8,1,1.3,8,1,1.5,8,1,-0.2,8,1,4.8,8,1,2.8,8,1
Jan-13,0.3,8,1,0.7,8,1,2,8,1,0.9,8,1,-1.3,8,1,-1,8,1,-1.3,8,1,-3.5,8,1,3,8,1,0.7,8,1
Feb-13,2.6,8,1,2.9,8,1,4.2,8,1,2.6,8,1,-0.1,8,1,1.2,8,1,0.4,8,1,-1.3,8,1,4.6,8,1,3.1,8,1
Mar-13,9.2,8,1,10,8,1,11.2,8,1,9.3,8,1,6.9,8,1,8.4,8,1,7,8,1,5.5,8,1,11,8,1,10.2,8,1
