ダウンロードした時刻：2023/06/19 00:44:12,,,,,,,,,,,,
,,,,,,,,,,,,
,佐賀,佐賀,佐賀,白石,白石,白石,嬉野,嬉野,嬉野,伊万里,伊万里,伊万里
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Aug-86,27.6,8,1,26.9,8,1,26.1,8,1,26.8,8,1
Sep-86,23.4,8,1,22.5,8,1,21.8,8,1,22.6,8,1
Oct-86,16.1,8,1,15,8,1,14.3,8,1,15.2,8,1
Nov-86,11.8,8,1,10.6,8,1,10.1,8,1,10.9,8,1
Dec-86,8.5,8,1,7.5,8,1,7,8,1,8,8,1
Jan-87,5.9,8,1,5.2,8,1,4.6,8,1,5.7,8,1
Feb-87,6.9,8,1,6.1,8,1,5.7,8,1,6.7,8,1
Mar-87,9.6,8,1,8.8,8,1,8.3,8,1,8.8,8,1
Apr-87,14.6,8,1,13.6,8,1,12.8,8,1,13.3,8,1
May-87,19.2,8,1,18.3,8,1,17.5,8,1,17.9,8,1
Jun-87,23,8,1,22.3,8,1,21,8,1,21.5,8,1
Jul-87,26.5,8,1,26.2,8,1,25.2,8,1,25.8,8,1
Aug-87,26.7,8,1,26.3,8,1,25.7,8,1,26.2,5,1
Sep-87,22.7,8,1,21.8,8,1,20.7,8,1,21.5,8,1
Oct-87,19.4,8,1,18.4,8,1,17.7,8,1,18.6,8,1
Nov-87,13.7,8,1,12.6,8,1,11.9,8,1,12.8,8,1
Dec-87,7.4,8,1,6.2,8,1,6,8,1,7.3,8,1
Jan-88,6.5,8,1,5.5,8,1,5.1,8,1,6.2,8,1
Feb-88,5.9,8,1,5,8,1,4.3,8,1,5.2,5,1
Mar-88,8.6,8,1,8,8,1,7.1,8,1,7.9,8,1
Apr-88,14,8,1,13.3,8,1,12.7,8,1,13.3,8,1
May-88,19.6,8,1,18.7,8,1,17.9,8,1,18.1,8,1
Jun-88,22.9,8,1,22.3,8,1,21.3,8,1,21.6,8,1
Jul-88,27,8,1,26.5,8,1,25.5,8,1,25.9,8,1
Aug-88,26.7,8,1,26.1,8,1,25.1,8,1,25.8,8,1
Sep-88,23.9,8,1,23,8,1,21.9,8,1,22.7,8,1
Oct-88,18.1,8,1,17,8,1,16.1,8,1,17.1,8,1
Nov-88,10.6,8,1,9.7,8,1,9.4,8,1,10.5,8,1
Dec-88,7,8,1,5.9,8,1,5.6,8,1,6.8,8,1
Jan-89,8.4,8,1,7.6,8,1,6.8,8,1,7.8,8,1
Feb-89,8.1,8,1,7.4,8,1,6.6,8,1,7.5,8,1
Mar-89,9.7,8,1,8.9,8,1,8.3,8,1,8.9,8,1
Apr-89,16.2,8,1,15.2,8,1,14.4,8,1,14.9,8,1
May-89,18.8,8,1,18,8,1,17.2,8,1,17.6,8,1
Jun-89,22.3,8,1,21.7,8,1,20.7,8,1,20.9,8,1
Jul-89,26.5,8,1,26,8,1,25,8,1,25.4,8,1
Aug-89,27.6,8,1,26.8,8,1,25.8,8,1,26.3,8,1
Sep-89,24.1,8,1,23.3,8,1,22.6,8,1,23,8,1
Oct-89,17.5,8,1,16.1,8,1,15.4,8,1,16.4,8,1
Nov-89,12.8,8,1,11.7,8,1,11.1,8,1,12.1,8,1
Dec-89,8.2,8,1,7.2,8,1,6.9,8,1,7.9,8,1
Jan-90,5.1,8,1,4.4,8,1,3.7,8,1,4.6,8,1
