ダウンロードした時刻：2023/06/19 00:44:12,,,,,,,,,,,,
,,,,,,,,,,,,
,佐賀,佐賀,佐賀,白石,白石,白石,嬉野,嬉野,嬉野,伊万里,伊万里,伊万里
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Nov-07,13,8,2,11.9,8,1,10.9,8,1,12,8,1
Dec-07,8.7,8,2,7.9,8,1,7.1,8,1,8.1,8,1
Jan-08,6.6,8,2,5.9,5,1,5.2,5,1,6.1,8,1
Feb-08,5.2,8,2,4.5,5,1,4,8,1,4.8,8,1
Mar-08,10.5,8,2,9.5,8,1,9,8,1,9.4,8,1
Apr-08,15,8,2,14.1,8,1,13.5,8,1,13.8,8,1
May-08,19.9,8,2,19.1,8,1,18,8,1,18,8,1
Jun-08,22.5,8,2,22.2,8,1,21,8,1,21.2,8,1
Jul-08,28.9,8,2,28.4,8,1,27.3,8,1,27.8,8,1
Aug-08,27.5,8,2,27.2,8,1,26,8,1,26.5,8,1
Sep-08,25.2,8,2,24.5,8,1,23.4,8,1,23.9,8,1
Oct-08,19.7,8,2,18.6,8,1,17.7,8,1,18.4,8,1
Nov-08,12.5,8,2,11.5,8,1,11,8,1,11.5,8,1
Dec-08,7.7,8,2,6.7,8,1,6.1,8,1,7.3,8,1
Jan-09,5.4,8,2,4.5,8,1,4.2,8,1,4.8,5,1
Feb-09,9.2,8,2,8.5,8,1,7.9,8,1,8.6,8,1
Mar-09,10.8,8,2,10.1,8,1,9.5,8,1,10.4,8,1
Apr-09,15.4,8,2,14.6,8,1,13.9,8,1,14.3,8,1
May-09,19.8,8,2,19.2,8,1,18.1,8,1,18.5,8,1
Jun-09,23.5,8,2,23.1,8,1,22,8,1,22.5,8,1
Jul-09,26.5,8,2,26.3,8,1,25.3,8,1,26.1,5,1
Aug-09,28,8,2,27.3,8,1,26.1,8,1,26.4,8,1
Sep-09,24.5,8,2,23.5,8,1,22.5,8,1,23.1,8,1
Oct-09,18.9,8,2,17.8,8,1,17,8,1,17.9,8,1
Nov-09,12.9,8,2,11.8,8,1,11.2,8,1,12,8,1
Dec-09,7.8,8,2,7,8,1,6.5,8,1,7.4,8,1
Jan-10,5.4,8,2,4.5,8,1,4.3,8,1,5.2,8,1
Feb-10,8.7,8,2,7.9,8,1,7.5,5,1,8.3,8,1
Mar-10,10.5,8,2,10,5,1,9.4,8,1,10,8,1
Apr-10,13.9,8,2,13.1,8,1,12.4,8,1,12.7,8,1
May-10,19.1,8,2,18.4,8,1,17.6,8,1,18.1,8,1
Jun-10,23.6,8,2,23.1,8,1,22.3,8,1,22.6,8,1
Jul-10,27.4,8,2,27,8,1,26.3,8,1,26.8,8,1
Aug-10,29.6,8,2,28.9,8,1,28.1,8,1,28.6,8,1
Sep-10,25.7,8,2,24.6,8,1,24,8,1,25.1,5,1
Oct-10,19.5,8,2,18.2,8,1,17.5,8,1,18.1,8,1
Nov-10,12.3,8,2,11,8,1,10.2,8,1,10.9,8,1
Dec-10,7.7,8,2,6.7,8,1,6.2,8,1,7,8,1
Jan-11,2.7,8,2,2.1,8,1,1.7,8,1,2.5,8,1
Feb-11,7.8,8,2,6.5,8,1,6.7,5,1,6.6,8,1
Mar-11,8,8,2,7,8,1,6.5,8,1,7.1,8,1
Apr-11,14.1,8,2,13.1,8,1,12.6,8,1,13,8,1
May-11,19.9,8,2,19.1,8,1,18.5,8,1,18.6,8,1
Jun-11,23.6,8,2,23.2,8,1,22.5,8,1,22.8,8,1
Jul-11,27.7,8,2,27.2,8,1,26.2,8,1,26.3,8,1
Aug-11,28,5,2,27.3,8,1,26.7,8,1,26.8,8,1
Sep-11,25.1,8,2,24.1,8,1,23.2,8,1,23.3,8,1
Oct-11,19,8,2,17.9,8,1,17.2,8,1,17.6,8,1
Nov-11,15.5,8,2,14.4,8,1,13.7,8,1,14.4,8,1
Dec-11,7.6,8,2,6.6,8,1,6,8,1,6.8,8,1
Jan-12,5.3,8,2,4.4,8,1,4,8,1,4.7,8,1
Feb-12,5.5,8,2,4.6,8,1,4.1,8,1,4.7,8,1
Mar-12,10.2,8,2,9.2,8,1,8.8,8,1,9.3,8,1
Apr-12,15.8,8,2,14.7,8,1,14.2,8,1,14.5,8,1
May-12,20.4,8,2,19.3,8,1,18.6,8,1,18.8,8,1
Jun-12,23.3,8,2,22.4,8,1,21.5,8,1,21.7,8,1
Jul-12,27.6,8,2,27,8,1,26.4,8,1,26.6,8,1
Aug-12,28.8,8,2,27.9,8,1,27.3,8,1,27.6,8,1
Sep-12,24.4,8,2,23,8,1,22.3,8,1,22.7,8,1
Oct-12,18.7,8,2,17.2,8,1,16.4,8,1,17,8,1
Nov-12,11.7,8,2,10.6,8,1,10,8,1,10.6,8,1
Dec-12,6.3,8,2,5.5,8,1,5,8,1,5.7,8,1
Jan-13,5.1,8,2,4,8,1,3.6,8,1,4.2,8,1
Feb-13,7.1,8,2,6.2,8,1,5.4,8,1,6,8,1
Mar-13,11.8,8,2,10.8,8,1,10.4,8,1,10.6,8,1
Apr-13,14.1,8,2,13,8,1,12.9,8,1,13.1,8,1
May-13,20.6,8,2,19.5,8,1,18.7,8,1,18.5,8,1
Jun-13,24.3,8,2,23.5,8,1,22.6,8,1,22.4,8,1
Jul-13,28.8,8,2,28.2,8,1,27.7,8,1,28.1,8,1
Aug-13,29.3,8,2,28.2,8,1,27.9,8,1,28.1,8,1
Sep-13,24.9,8,2,23.7,8,1,23.1,8,1,23.3,8,1
Oct-13,20.4,8,2,19.2,8,1,18.6,8,1,19,8,1
Nov-13,12.3,8,2,11.3,8,1,10.7,8,1,11.4,8,1
Dec-13,6.8,8,2,6,8,1,5.7,8,1,6.3,8,1
Jan-14,6.3,8,2,5.1,8,1,4.9,8,1,5.6,8,1
Feb-14,7.2,8,2,6.3,8,1,5.8,8,1,6.3,8,1
Mar-14,11.1,8,2,10.2,8,1,9.6,8,1,10.1,8,1
Apr-14,15.4,8,2,14.2,8,1,13.7,8,1,13.8,8,1
May-14,20.3,8,2,19.1,8,1,18.5,8,1,18.5,8,1
Jun-14,22.9,8,2,22.1,8,1,21.1,8,1,21.2,8,1
Jul-14,26.8,8,2,26.1,8,1,25.4,8,1,25.6,8,1
Aug-14,26.6,8,2,25.8,8,1,25.3,8,1,25.7,8,1
Sep-14,24.1,8,2,23,8,1,22.2,8,1,22.5,8,1
Oct-14,19.5,8,2,18.2,8,1,17.6,8,1,17.7,8,1
Nov-14,14,8,2,12.7,8,1,12,8,1,12.5,8,1
Dec-14,6.3,8,2,5.4,8,1,5,8,1,5.7,8,1
Jan-15,6.8,8,2,5.8,8,1,5.3,8,1,6,8,1
Feb-15,6.6,8,2,5.8,8,1,5.3,8,1,5.8,8,1
Mar-15,10.8,8,2,9.7,8,1,9.1,8,1,9.4,8,1
Apr-15,16.5,8,2,15.5,8,1,14.9,8,1,15,8,1
May-15,21,8,2,19.9,8,1,19,8,1,18.9,8,1
Jun-15,22.7,8,2,21.9,8,1,21.1,8,1,21.3,8,1
Jul-15,26.5,8,2,25.7,8,1,24.9,8,1,24.8,8,1
Aug-15,27.5,8,2,26.5,8,1,25.8,8,1,25.9,8,1
Sep-15,23.4,8,2,22.2,8,1,21.4,8,1,21.7,8,1
Oct-15,18.4,8,2,17.1,8,1,16.3,8,1,16.8,8,1
Nov-15,15.9,8,2,14.8,8,1,14,8,1,14.5,8,1
Dec-15,9.5,8,2,8.4,8,1,7.9,8,1,8.7,8,1
Jan-16,6.1,8,2,4.9,8,1,4.7,8,1,5.7,8,1
Feb-16,7.1,8,2,6.1,8,1,5.6,8,1,6.5,8,1
Mar-16,11.2,8,2,10,8,1,9.4,8,1,10.3,8,1
Apr-16,17.1,8,2,16,8,1,15.3,8,1,15.6,8,1
May-16,21.3,8,2,20.2,8,1,19.5,8,1,19.4,8,1
Jun-16,23.8,8,2,23.1,8,1,22.3,8,1,22.6,8,1
Jul-16,28.3,8,2,27.6,8,1,26.7,8,1,27.2,8,1
Aug-16,29.3,8,2,28.4,8,1,27.6,8,1,28,8,1
Sep-16,25.5,8,2,24.4,8,1,23.6,8,1,23.9,8,1
Oct-16,21.4,8,2,20.4,8,1,19.5,8,1,20,8,1
Nov-16,13.7,8,2,12.6,8,1,11.9,8,1,12.6,8,1
Dec-16,9.4,8,2,8.3,8,1,7.7,8,1,8.8,8,1
Jan-17,6.4,8,2,5.4,8,1,5.1,8,1,5.9,8,1
Feb-17,7,8,2,6.1,8,1,5.6,8,1,6.5,8,1
Mar-17,9.8,8,2,8.8,8,1,8,8,1,8.7,8,1
Apr-17,16.4,8,2,15.5,8,1,15.1,8,1,15.5,8,1
May-17,20.9,8,2,19.9,8,1,19.2,8,1,19.3,8,1
Jun-17,23.5,8,2,22.8,8,1,21.7,8,1,21.9,8,1
Jul-17,28.8,8,2,28.2,8,1,27.5,8,1,28.1,8,1
Aug-17,29.1,8,2,28.1,8,1,27.5,8,1,28.1,8,1
Sep-17,23.8,8,2,22.9,8,1,22.1,8,1,22.6,8,1
Oct-17,19.7,8,2,18.9,8,1,18,8,1,18.6,8,1
Nov-17,12.6,8,2,11.6,8,1,10.7,8,1,11.7,8,1
Dec-17,6.1,8,2,5.3,8,1,4.8,8,1,5.8,8,1
Jan-18,4.6,8,2,3.8,8,1,3.3,8,1,4.1,8,1
Feb-18,5.4,8,2,4.5,8,1,3.9,8,1,4.7,8,1
Mar-18,11.8,8,2,10.8,8,1,10.2,8,1,10.8,8,1
Apr-18,17.1,8,2,16.1,8,1,15.4,8,1,15.9,8,1
May-18,20.8,8,2,20,8,1,19.1,8,1,19.5,8,1
Jun-18,24.1,8,2,23.4,8,1,22.2,8,1,22.4,8,1
Jul-18,29.3,8,2,28.5,8,1,27.4,8,1,27.4,8,1
Aug-18,30.1,8,2,29.2,8,1,28.4,8,1,28.5,8,1
Sep-18,24.6,8,2,23.7,8,1,22.9,8,1,23.4,8,1
Oct-18,18.5,8,2,17.2,8,1,16.4,8,1,17.1,8,1
Nov-18,13.6,8,2,12.3,8,1,11.5,8,1,12.2,8,1
Dec-18,9.2,8,2,8.5,8,1,7.5,8,1,8.6,8,1
Jan-19,6.8,8,2,5.9,8,1,5.4,8,1,6.1,8,1
Feb-19,8.8,8,2,7.8,8,1,6.9,8,1,7.7,8,1
Mar-19,11.5,8,2,10.5,8,1,9.9,8,1,10.5,8,1
Apr-19,15.5,8,2,14.6,8,1,14.1,8,1,14.3,8,1
May-19,21.1,8,2,20,8,1,19.1,8,1,19.3,8,1
Jun-19,23.9,8,2,23.1,8,1,21.9,8,1,22.1,8,1
Jul-19,26.5,8,2,25.6,8,1,24.8,8,1,25.2,8,1
Aug-19,27.8,8,2,27.3,8,1,26.3,8,1,26.7,8,1
Sep-19,26.1,8,2,25.1,8,1,24.1,8,1,24.5,8,1
Oct-19,20.5,8,2,19.5,8,1,18.5,8,1,19,8,1
Nov-19,14.1,8,2,12.9,8,1,12.1,8,1,12.9,8,1
Dec-19,9.3,8,2,8.3,8,1,7.5,8,1,8.5,8,1
Jan-20,8.7,8,2,7.9,8,1,7.2,8,1,8,8,1
Feb-20,8.8,8,2,7.8,8,1,7.4,8,1,8.2,8,1
Mar-20,11.9,8,2,10.9,8,1,10.3,8,1,11,8,1
Apr-20,13.9,8,2,13,8,1,12.3,8,1,12.6,8,1
May-20,21,8,2,20.1,8,1,19.1,8,1,19.3,8,1
Jun-20,25.3,8,2,24.6,8,1,23.6,8,1,23.8,8,1
Jul-20,25.5,8,2,25.2,8,1,24.6,8,1,24.8,8,1
Aug-20,29.6,8,2,28.8,8,1,27.8,8,1,28.6,5,1
Sep-20,24.5,8,2,23.5,8,1,22.5,8,1,23,8,1
Oct-20,19.1,8,2,18,8,1,17.1,8,1,17.8,8,1
Nov-20,14.7,8,2,13.5,8,1,12.6,8,1,13.5,8,1
Dec-20,7.3,8,2,6.3,5,1,5.7,5,1,6.3,5,1
Jan-21,6.2,8,2,5.3,8,1,4.7,8,1,5.8,8,1
Feb-21,9.4,8,2,8.5,8,1,8.1,5,1,8.7,8,1
Mar-21,13.4,8,2,12.3,8,1,11.7,8,1,12.3,8,1
Apr-21,16.6,8,2,15.6,8,1,14.8,8,1,15.1,8,1
May-21,20.3,8,2,19.6,8,1,18.8,8,1,19.1,8,1
Jun-21,24.8,8,2,24.2,8,1,22.9,8,1,23,8,1
Jul-21,28.4,8,2,28,8,1,26.9,8,1,27.4,8,1
Aug-21,27.3,8,2,27.1,8,1,26.1,8,1,26.4,8,1
Sep-21,25.9,8,2,25.2,8,1,24.1,8,1,24.4,8,1
Oct-21,20.8,8,2,19.8,8,1,18.6,8,1,19.1,8,1
Nov-21,13.1,8,2,12,8,1,11.3,8,1,11.9,8,1
Dec-21,8,8,2,7.1,8,1,6.4,8,1,7.4,8,1
Jan-22,6.2,8,2,5.4,8,1,4.7,8,1,5.2,8,1
Feb-22,5.8,8,2,5.2,8,1,4.3,8,1,5,8,1
Mar-22,12.4,8,2,11.6,8,1,10.9,8,1,11.4,8,1
Apr-22,16.5,8,2,15.8,8,1,14.9,8,1,15.1,8,1
May-22,20.7,8,2,20.1,8,1,18.9,8,1,19,8,1
Jun-22,24.7,8,2,24.3,8,1,23.3,8,1,23.6,8,1
Jul-22,28.7,8,2,28.3,8,1,27.4,8,1,27.6,8,1
Aug-22,28.9,8,2,28.5,8,1,27.6,8,1,28.1,8,1
Sep-22,25.9,8,2,25.2,8,1,24,8,1,24.3,8,1
Oct-22,19.4,8,2,18.5,8,1,17.2,8,1,17.8,8,1
Nov-22,15.9,8,2,14.9,8,1,13.7,8,1,14.7,8,1
Dec-22,6.7,8,2,6.1,5,1,5.2,5,1,6.1,5,1
